"488nm525-40-A","488nm525-40-H"
5215.8,5064.5
2212.7,2675.2
5026.6,5041.8
2322.7,2364.4
461.2,843.8
1501.9,2001.4
2035.7,2665.9
753.4,789.1
940.9,782.2
2770.1,2846
1306.3,1644.3
218.6,758.4
2403.9,2676.5
2480.2,2686.1
4644.8,3146.6
1359,1493.9
947.9,1313.8
488.2,858.1
3671.4,3255.3
4652.1,4923.9
8779.3,8807.4
1826.9,1823.2
2504.4,2517
1234.9,1406.2
-115.3,605.6
1178.1,1606.2
2019.5,2561.7
219632,217874
1219.3,1229.3
997.4,1544.7
1546.2,1837.1
311.6,1304.4
2134.4,1862.6
1972.5,2438.7
11542.3,10573.9
3471.2,3554.5
715,1180.8
1314.2,1442.6
889.8,1077.3
1939.3,2401.2
583,910.8
7698.3,7694
3917.4,3954.2
6074.8,5813.4
804.4,1165.8
1532.6,1522.7
1499.8,1321.8
9855.7,9354.8
4425.9,4481
2504.2,2842.3
402.7,796.3
1097.4,1364.5
8287.1,8114.4
13103.1,13514.2
884,1437.8
1112.5,1580.5
2884.7,2783.8
6804.5,5536.3
1247.3,1505.5
555.9,929.2
966.4,1193.7
1745.8,1989.8
842.7,1054.4
2348.9,2324.3
1473.8,1780.5
4260.1,4255.4
1714.5,1866
593.3,846.2
1136.4,1378.8
1581.7,1722.8
6542.8,5262.9
2046.3,2382.1
961.9,1533.4
1958.3,1723.5
8278.2,8314.4
7062.8,6790.2
529.7,790
3094.5,3001.7
509.6,1003.2
2974.5,2705.2
2089.1,2243.2
365.5,964
1645.1,1972.1
1492.6,1676.2
12459.2,12837.7
1565.6,1765.1
1173.6,1444.9
4040.1,4282.7
9399,9168.1
1200.3,1349.8
2360.2,2643.2
781.7,716.4
1393.6,1831.4
420.1,869.9
2206.2,1981.8
5353.1,5031
163.4,805.1
343,754.3
2334.5,2195.7
1215.8,1268.3
835.3,972
2259.1,2350.7
8554.6,8964.1
4920.2,4538.9
2472,2423.6
1332.1,1574.4
2980.3,3166.5
211.5,709.9
15785.1,15218.8
1590.2,1967.9
2801.4,3441.8
1425.5,1419.3
10390.8,10295.4
2498.4,2406.3
1610.7,1789.3
935,1257.4
899.7,1041.7
6074.7,6409.7
2280.6,2570.1
842.5,776.2
1827.2,1454.3
1865.8,1901.3
936.7,1157.1
960.6,1751.6
7441.2,7588.6
7116.3,7473.2
18251.4,17552.2
11805.4,11878.6
1194.1,1567
2319.6,2297.7
3445.4,3472.2
1703.4,1969.4
284.2,1042.5
7444.5,7494.6
9209,9109.8
8076.3,8150
1468.4,1442.2
4031.4,4210.1
1531.6,1636.2
5048.3,4841.8
278.7,626.8
774.2,1290.3
1438.7,1924.3
2738.4,2669.4
